date,open_price,close_price,price_change,number_of_liquidations,average_health_factor
2018-09-12 00:00:00+00:00,196.36,184.08,-6.25,0,1.044520
2018-09-13 00:00:00+00:00,184.08,182.95,-0.62,0,1.074100
2018-09-14 00:00:00+00:00,182.95,211.83,15.79,0,1.124997
2018-09-15 00:00:00+00:00,211.83,211.38,-0.21,0,1.075975
2018-09-16 00:00:00+00:00,211.38,223.05,5.52,0,1.098818
2018-09-17 00:00:00+00:00,223.05,220.14,-1.31,0,1.070822
2018-09-18 00:00:00+00:00,220.14,196.58,-10.70,34,1.017562
2018-09-19 00:00:00+00:00,196.58,210.15,6.91,0,1.103358
2018-09-20 00:00:00+00:00,210.15,209.14,-0.48,0,1.074752
2018-09-21 00:00:00+00:00,209.14,224.38,7.29,0,1.104581
2018-09-22 00:00:00+00:00,224.38,247.41,10.26,0,1.113216
2018-09-23 00:00:00+00:00,247.41,241.84,-2.25,0,1.066350
2018-09-24 00:00:00+00:00,241.84,244.78,1.22,0,1.082288
2018-09-25 00:00:00+00:00,244.78,228.34,-6.72,0,1.042036
2018-09-26 00:00:00+00:00,228.34,219.50,-3.87,0,1.058086
2018-09-27 00:00:00+00:00,219.50,214.98,-2.06,0,1.067111
2018-09-28 00:00:00+00:00,214.98,229.22,6.63,0,1.102534
2018-09-29 00:00:00+00:00,229.22,222.23,-3.05,0,1.062215
2018-09-30 00:00:00+00:00,222.23,231.74,4.28,0,1.094418
2018-10-01 00:00:00+00:00,231.74,232.78,0.45,0,1.078944
2018-10-02 00:00:00+00:00,232.78,231.14,-0.70,0,1.073722
2018-10-03 00:00:00+00:00,231.14,225.79,-2.31,0,1.066008
2018-10-04 00:00:00+00:00,225.79,220.47,-2.36,0,1.065759
2018-10-05 00:00:00+00:00,220.47,222.20,0.78,0,1.080392
2018-10-06 00:00:00+00:00,222.20,228.04,2.63,0,1.088107
2018-10-07 00:00:00+00:00,228.04,225.07,-1.30,0,1.070846
2018-10-08 00:00:00+00:00,225.07,225.66,0.26,0,1.078095
2018-10-09 00:00:00+00:00,225.66,229.52,1.71,0,1.084370
2018-10-10 00:00:00+00:00,229.52,227.97,-0.68,0,1.073826
2018-10-11 00:00:00+00:00,227.97,225.66,-1.01,0,1.072294
2018-10-12 00:00:00+00:00,225.66,192.00,-14.92,372,0.985166
2018-10-13 00:00:00+00:00,192.00,197.07,2.64,0,1.088168
2018-10-14 00:00:00+00:00,197.07,201.05,2.02,0,1.085662
2018-10-15 00:00:00+00:00,201.05,196.32,-2.35,0,1.065779
2018-10-16 00:00:00+00:00,196.32,212.20,8.09,0,1.107193
2018-10-17 00:00:00+00:00,212.20,212.44,0.11,0,1.077435
2018-10-18 00:00:00+00:00,212.44,211.08,-0.64,0,1.073981
2018-10-19 00:00:00+00:00,211.08,204.31,-3.21,0,1.061441
2018-10-20 00:00:00+00:00,204.31,203.98,-0.16,0,1.076176
2018-10-21 00:00:00+00:00,203.98,206.88,1.42,0,1.083123
2018-10-22 00:00:00+00:00,206.88,206.31,-0.28,0,1.075666
2018-10-23 00:00:00+00:00,206.31,205.04,-0.62,0,1.074105
2018-10-24 00:00:00+00:00,205.04,204.08,-0.47,0,1.074811
2018-10-25 00:00:00+00:00,204.08,203.52,-0.28,0,1.075670
2018-10-26 00:00:00+00:00,203.52,202.35,-0.57,0,1.074300
2018-10-27 00:00:00+00:00,202.35,203.38,0.51,0,1.079194
2018-10-28 00:00:00+00:00,203.38,203.19,-0.10,0,1.076484
2018-10-29 00:00:00+00:00,203.19,204.72,0.76,0,1.080277
2018-10-30 00:00:00+00:00,204.72,195.75,-4.38,0,1.054983
2018-10-31 00:00:00+00:00,195.75,197.45,0.87,0,1.080750
2018-11-01 00:00:00+00:00,197.45,198.64,0.60,0,1.079610
2018-11-02 00:00:00+00:00,198.64,199.12,0.24,0,1.078014
2018-11-03 00:00:00+00:00,199.12,202.28,1.59,0,1.083834
2018-11-04 00:00:00+00:00,202.28,200.14,-1.06,0,1.072030
2018-11-05 00:00:00+00:00,200.14,206.81,3.34,0,1.090868
2018-11-06 00:00:00+00:00,206.81,209.11,1.11,0,1.081808
2018-11-07 00:00:00+00:00,209.11,219.16,4.81,0,1.096318
2018-11-08 00:00:00+00:00,219.16,219.02,-0.07,0,1.076621
2018-11-09 00:00:00+00:00,219.02,213.41,-2.56,0,1.064761
2018-11-10 00:00:00+00:00,213.41,210.79,-1.23,0,1.071258
2018-11-11 00:00:00+00:00,210.79,212.97,1.03,0,1.081461
2018-11-12 00:00:00+00:00,212.97,212.47,-0.23,0,1.075876
2018-11-13 00:00:00+00:00,212.47,211.66,-0.38,0,1.075185
2018-11-14 00:00:00+00:00,211.66,208.58,-1.45,0,1.070203
2018-11-15 00:00:00+00:00,208.58,184.02,-11.77,122,1.008734
2018-11-16 00:00:00+00:00,184.02,182.45,-0.85,0,1.072997
2018-11-17 00:00:00+00:00,182.45,176.02,-3.52,0,1.059843
2018-11-18 00:00:00+00:00,176.02,175.67,-0.20,0,1.076008
2018-11-19 00:00:00+00:00,175.67,177.73,1.17,0,1.082068
2018-11-20 00:00:00+00:00,177.73,150.39,-15.38,425,0.981163
2018-11-21 00:00:00+00:00,150.39,131.48,-12.57,164,1.003829
2018-11-22 00:00:00+00:00,131.48,137.17,4.33,0,1.094634
2018-11-23 00:00:00+00:00,137.17,126.07,-8.10,0,1.033764
2018-11-24 00:00:00+00:00,126.07,124.15,-1.52,0,1.069889
2018-11-25 00:00:00+00:00,124.15,114.29,-7.94,0,1.034640
2018-11-26 00:00:00+00:00,114.29,117.53,2.83,0,1.088926
2018-11-27 00:00:00+00:00,117.53,109.43,-6.89,0,1.040631
2018-11-28 00:00:00+00:00,109.43,110.43,0.92,0,1.080973
2018-11-29 00:00:00+00:00,110.43,122.45,10.88,0,1.114832
2018-11-30 00:00:00+00:00,122.45,117.71,-3.87,0,1.057854
2018-12-01 00:00:00+00:00,117.71,113.40,-3.66,0,1.059145
2018-12-02 00:00:00+00:00,113.40,118.10,4.14,0,1.093866
2018-12-03 00:00:00+00:00,118.10,115.94,-1.83,0,1.068319
2018-12-04 00:00:00+00:00,115.94,108.68,-6.27,0,1.044640
2018-12-05 00:00:00+00:00,108.68,109.85,1.08,0,1.081669
2018-12-06 00:00:00+00:00,109.85,102.51,-6.68,0,1.042344
